amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
Tell Me your Dreams,by Sidney Sheldon,4.4,160.0,8172234902,209
The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134.0,1862305277,350
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156.0,9350294311,477
Mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340
My Story,by Kamala Das,4.5,42.0,8172238975,178
Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120
12 Years a Slave,by Solomon Northup,4.5,41.0,8175994479,99
Headley And I,by S. Hussain Zaidi,3.5,14.0,9350295725,247
Making India Awesome: New Essays and Columns,by Chetan Bhagat,3.8,1188.0,8129137429,100
The Dirty Dozen: Hitmen of the Mumbai Underworld,by Gabriel Khan,4.2,54.0,9386850133,221
Commando,by Michael Bar-Zohar,3.7,15.0,9386867168,333
"Behold, I Shine: Narratives of Kashmir's Women and Children",by Freny Manecksha - Import,4.3,15.0,8129145715,106
Corporate Guru Narayan Murthy,by N Chokkan,4.1,4.0,8173157685,150
Byculla to Bangkok,by S. Hussain Zaidi,4.1,96.0,9351362256,192
"Who Cheats and How?: Scams, Frauds and the Dark Side of the Corporate World:...",by Robin Banerjee,3.5,17.0,9351500616,360
Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67.0,8184959893,220
The Book Thief (Definitions Young Adult),by Markus Zusak,4.5,87.0,1909531618,379
Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,4.4,36.0,9350899175,175
Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59.0,9350899477,140
This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100
This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100
IQ Tests Book-1 - Boost Your Intelligence,by Arihant Experts,3.8,19.0,9350945746,86
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,1451696191,186
Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182
Creative Doodle Colouring - Animals & Birds,by Dreamland Publications,4.7,11.0,9350897954,140
"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...",by Susanne F. Fincher,3.9,2.0,1590300866,610
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226
How to Be an Adult in Relationships: The Five Keys to Mindful Loving,by David Richo,5.0,1.0,1570628122,689
Eleven Minutes,by Paulo Coelho,4.2,234.0,8172235631,167
The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19.0,1409323498,781
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651.0,9385152149,240
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226
The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793.0,9386224445,162
Murder in a Minute,by Shouvik Bhattacharya,4.4,277.0,9386643723,188
Alice’s Adventures in Wonderland,by Lewis Carroll,4.0,119.0,8175992980,89
Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680.0,9352685482,185
Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097.0,1408855658,299
