flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5
 ,1862305277, The Boy in the Striped Pyjamas,83,372,4.5
  Anil Lamba,9350294311, ROMANCING THE BALANCE SHEET,352,477,4.5
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Kamala Das,8172238975, MY STORY,322,178,4.3
  Abdul Kalam A. P. J.,8170286840, Inspiring Thoughts,357,149,4.2
  Northup Solomon,8175994479, 12 years a slave : - A True Story,56,140,4.4
  Zaidi S. Hussain,9350295725, Headley And I,46,280,4.2
  Bhagat Chetan,8129137429, Making India Awesome,1779,112,4.1
  Khan Gabriel,9386850133, The Dirty Dozen - Hitmen of Mumbai Mafia,32,221,4.5
  unknown,9386867168, Commando - Mossad,30,298,4.4
  Manecksha Freny,8129145715, BEHOLD- I SHINE,49,112,4.5
  Chokkan N,8173157685, Corporate Guru Narayan Murthy,10,147,4.1
  Zaidi' and  ' S. Hussain,9351362256, BYCULLA TO BANGKOK,458,176,4.4
  Robin Banerjee,9351500616, Who Cheats and How?: Scams- Fraud and the Dark Side of the Corporate World - Scams- Fraud and the Dark Side of the Corporate World,11,360,4.6
  Sharma Robin,8184959893, Little Black Book for Stunning Success + Tools for Action Mastery,104,220,4.4
  Zusak Markus,1909531618, The Book Thief,558,320,4.5
  Dreamland Publications,9350899175, Refreshing Mandala - Book 3,28,237,4.6
  unknown,9350899477, Rejuvenate Yourself- Floral Patterns,22,186,4.4
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3
  unknown,9350945746, Iq Tests Book-1 - Boost Your Intelligence,67,86,4.2
  Chbosky Stephen,1451696191, The Perks of Being a Wallflower,1897,186,4.5
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Dreamland Publications,9350897954, Creative Doodle Colouring - Animals & Birds,35,140,4.6
  Susanne F Fincher,1590300866, Coloring Mandalas 2, ,820, 
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Richo David,1570628122, How To Be An Adult In Relationships, ,765, 
  Paulo Coelho,8172235631, ELEVEN MINUTES,2201,209,4.4
  DK,1409323498, The Animal Book,5,563,4.6
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4
